No,Image,Accuracy
1,label (26),0.84375
2,label (30),0.8428571428571429
3,label (10),0.8916827852998066
4,label (6),0.7202072538860104
5,label (7),0.889795918367347
6,label (11),0.7466666666666666
7,label (31),0.8937093275488069
8,label (27),0.7659033078880407
9,label (41),0.7263157894736842
10,label (16),0.8650793650793651
11,label (20),0.873972602739726
12,label (36),0.896551724137931
13,label (37),0.8373333333333334
14,label (21),0.8692493946731235
15,label (1),0.8904109589041096
16,label (17),0.7736720554272517
17,label (40),0.7374005305039788
18,label (38),0.8227571115973742
19,label (2),0.7666666666666666
20,label (14),0.8299445471349354
21,label (34),0.8588588588588588
22,label (22),0.8
23,label (18),0.8589341692789969
24,label (19),0.8869936034115139
25,label (23),0.8129496402877698
26,label (35),0.7557077625570776
27,label (15),0.8835616438356164
28,label (3),0.8504273504273504
29,label (39),0.8454545454545455
30,label (32),0.8102766798418972
31,label (24),0.7172774869109948
32,label (8),0.7362204724409449
33,label (28),0.7540603248259861
34,label (4),0.8708791208791209
35,label (12),0.8883248730964467
36,label (13),0.8883116883116883
37,label (5),0.8359073359073359
38,label (29),0.7097457627118644
39,label (9),0.9018036072144289
40,label (25),0.8028169014084507
41,label (33),0.859375
